asset_id,timestamp,reading_type,value,safe_min,safe_max
1,2024-08-15T08:00:00Z,vibration,7.8,0.5,4.5
1,2024-08-15T08:05:00Z,temperature,112.4,20.0,85.0
1,2024-08-15T08:10:00Z,pressure,42.1,10.0,50.0
1,2024-08-15T08:15:00Z,vibration,8.4,0.5,4.5
2,2024-08-15T08:00:00Z,temperature,78.2,20.0,90.0
2,2024-08-15T08:05:00Z,vibration,3.1,0.5,5.0
2,2024-08-15T08:10:00Z,pressure,68.9,20.0,65.0
3,2024-08-15T08:00:00Z,vibration,1.8,0.5,4.0
3,2024-08-15T08:05:00Z,temperature,54.0,20.0,80.0
4,2024-08-15T08:00:00Z,pressure,58.3,15.0,45.0
4,2024-08-15T08:05:00Z,temperature,134.5,30.0,110.0
4,2024-08-15T08:10:00Z,vibration,,0.5,4.5
5,2024-08-15T08:00:00Z,temperature,91.0,20.0,85.0
5,2024-08-15T08:05:00Z,vibration,4.9,0.5,4.5
6,2024-08-15T08:00:00Z,pressure,48.2,10.0,40.0
6,2024-08-15T08:05:00Z,temperature,142.1,30.0,120.0
7,2024-08-15T08:00:00Z,vibration,6.3,0.5,4.0
8,2024-08-15T08:00:00Z,pressure,52.4,5.0,35.0
9,2024-08-15T08:00:00Z,vibration,2.1,0.5,5.0
10,2024-08-15T08:00:00Z,temperature,62.0,20.0,80.0
