asset_id,maintenance_date,maintenance_type,notes
1,2024-01-15,Preventive,Scheduled impeller lubrication and seal check
1,04/20/2024,Corrective,Replaced weeping mechanical shaft seal
1,2024-07-10,Emergency Failure Repair,Sudden bearing housing lockup and thermal spike
2,15-Feb-2024,Preventive,Rotor balancing and filter cartridge flush
2,2024-06-01,Corrective,Vibration damper adjustment
3,2024-02-10,Preventive,Actuator stroke test and valve packing tight
3,05/18/2024,Routine,Visual check no anomalies found
4,,Preventive,Missing maintenance timestamp log entry
4,2024-03-30,Emergency Failure Repair,Tube bundle leak and high pressure drop
5,10-Jan-2024,Preventive,Motor winding insulation resistance test
5,2024-05-12,Corrective,Coupling realignment following thermal trip
6,2024-01-05,Preventive,Ultrasonic thickness gauge testing
6,06/22/2024,Emergency Failure Repair,Flange gasket blown under 45 bar load
7,2024-04-14,Preventive,Gearbox oil drain and replacement
8,12-Mar-2024,Corrective,Solenoid coil replacement
8,2024-07-02,Emergency Failure Repair,Valve stem binding during emergency flare test
9,2024-02-28,Preventive,Lube oil skid flushing and sensor check
10,03/11/2024,Preventive,Belt tension adjustment and motor greasing
10,,Unscheduled,Incomplete maintenance record without date
